"","fecha","PP","PSOE","MM","Vox","UP","Cs","Derecha","Izquierda","PP.min","PSOE.min","MM.min","Vox.min","UP.min","Cs.min","Derecha.min","Izquierda.min","PP.max","PSOE.max","MM.max","Vox.max","UP.max","Cs.max","Derecha.max","Izquierda.max"
"47",2021-04-25,40.8,23,14.5,9.1,7.3,4,54,44.8,37.1,19.5,11.2,6.1,4.3,1.2,48.7,39.7,44.6,26.4,17.9,12.2,10.3,6.9,59.3,49.9
"48",2021-04-26,41.3,22.2,15,9.2,7.6,3.6,54.1,44.7,37.6,18.8,11.6,6.1,4.6,0.9,48.8,39.7,45,25.6,18.3,12.2,10.6,6.4,59.3,49.8
"49",2021-04-27,40.9,22.3,15.2,9,7.5,3.9,53.9,45.1,37.2,18.8,11.9,5.9,4.5,1,48.5,39.9,44.6,25.8,18.6,12.1,10.5,6.7,59.2,50.2
"50",2021-04-28,41.1,22,15.5,9.3,7.5,3.8,54.2,45,37.4,18.6,12.2,6.2,4.5,1,48.9,39.9,44.7,25.4,18.9,12.3,10.5,6.6,59.5,50.1
"51",2021-04-29,41.1,21.9,15.6,9.2,7.4,3.8,54.1,44.9,37.4,18.5,12.2,6.1,4.4,1,48.8,39.8,44.8,25.3,19,12.3,10.4,6.6,59.3,50
"52",2021-04-30,41,21.5,16,9.2,7.2,3.9,54.1,44.7,37.4,18.1,12.6,6.1,4.2,1.1,48.8,39.7,44.7,25,19.4,12.3,10.2,6.7,59.4,49.8
"53",2021-05-01,41,21.4,16.1,9.2,7.3,3.9,54.1,44.9,37.3,17.9,12.7,6.1,4.4,1,48.7,39.8,44.7,24.8,19.5,12.3,10.3,6.7,59.4,49.9
"54",2021-05-02,41,21,16.4,9.3,7.3,3.8,54.2,44.8,37.3,17.6,13,6.2,4.4,1,48.8,39.7,44.7,24.4,19.8,12.4,10.3,6.6,59.5,49.9
"55",2021-05-03,41.2,20.9,16.3,9.2,7.3,3.7,54.1,44.5,37.4,17.5,12.9,6.1,4.3,0.9,48.8,39.5,44.9,24.4,19.7,12.3,10.2,6.5,59.4,49.5
"56",2021-05-04,41.3,20.3,16.6,9.2,7.4,3.8,54.3,44.3,37.6,16.9,13.2,6.2,4.4,1,49,39.3,45,23.7,20,12.3,10.4,6.6,59.7,49.4
